Test-focused sweep: runs=10000 / candidates=77616 (epochs=3, split_strategy=random, seed=42, split=70/15/15, train_max_samples=50000)
[001/10000] base3  hidden=256,128,64               bs=8192 lr=0.0015 do=0.15 wd=0.005  test_rmse=3.3084  test_acc=4.68%  (4.53s)
[002/10000] tiny2  hidden=64,32                    bs=2048 lr=0.0003 do=0.05 wd=1e-05  test_rmse=10.9538  test_acc=0.00%  (3.51s)
[003/10000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.0007 do=0.15 wd=0.0001 test_rmse=3.1211  test_acc=11.16%  (6.38s)
[004/10000] deep4  hidden=512,256,128,64           bs=4096 lr=0.0003 do=0.1  wd=1e-06  test_rmse=4.6082  test_acc=0.00%  (6.16s)
[005/10000] wide3  hidden=512,256,128              bs=1024 lr=0.002  do=0.1  wd=0.0005 test_rmse=0.7104  test_acc=73.74%  (4.64s)
[006/10000] tiny2  hidden=64,32                    bs=8192 lr=0.0015 do=0.02 wd=0.0005 test_rmse=8.8708  test_acc=0.02%  (2.85s)
[007/10000] wide3  hidden=512,256,128              bs=2048 lr=0.0015 do=0.0  wd=0.001  test_rmse=1.1444  test_acc=54.98%  (2.86s)
[008/10000] small2 hidden=128,64                   bs=4096 lr=0.002  do=0.15 wd=0.0    test_rmse=3.0013  test_acc=6.31%  (2.77s)
[009/10000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.0025 do=0.05 wd=1e-05  test_rmse=0.5755  test_acc=73.09%  (5.34s)
[010/10000] wide3  hidden=512,256,128              bs=8192 lr=0.0005 do=0.05 wd=0.001  test_rmse=4.2528  test_acc=0.00%  (3.8s)
[011/10000] big3   hidden=1024,512,256             bs=1024 lr=0.0015 do=0.05 wd=0.0    test_rmse=0.5796  test_acc=73.19%  (4.92s)
[012/10000] deep4  hidden=512,256,128,64           bs=4096 lr=0.004  do=0.1  wd=1e-05  test_rmse=0.9177  test_acc=50.89%  (3.9s)
[013/10000] wide2  hidden=512,256                  bs=4096 lr=0.002  do=0.02 wd=0.0005 test_rmse=2.3413  test_acc=35.81%  (3.69s)
[014/10000] small2 hidden=128,64                   bs=4096 lr=0.0015 do=0.2  wd=1e-06  test_rmse=3.1080  test_acc=5.78%  (3.08s)
[015/10000] small2 hidden=128,64                   bs=2048 lr=0.0003 do=0.02 wd=0.005  test_rmse=4.8236  test_acc=0.59%  (2.67s)
[016/10000] small2 hidden=128,64                   bs=8192 lr=0.004  do=0.1  wd=1e-06  test_rmse=3.0672  test_acc=0.34%  (2.97s)
[017/10000] base3  hidden=256,128,64               bs=1024 lr=0.0015 do=0.3  wd=1e-05  test_rmse=1.0431  test_acc=67.16%  (2.62s)
[018/10000] base3  hidden=256,128,64               bs=1024 lr=0.0005 do=0.15 wd=1e-05  test_rmse=1.0260  test_acc=67.68%  (2.75s)
[019/10000] tiny2  hidden=64,32                    bs=4096 lr=0.002  do=0.15 wd=1e-05  test_rmse=3.3989  test_acc=5.76%  (2.98s)
[020/10000] small2 hidden=128,64                   bs=4096 lr=0.0015 do=0.05 wd=0.0    test_rmse=3.0852  test_acc=5.99%  (3.12s)
[021/10000] tiny2  hidden=64,32                    bs=1024 lr=0.0015 do=0.1  wd=0.0005 test_rmse=1.3638  test_acc=41.82%  (2.21s)
[022/10000] big4   hidden=1024,512,256,128         bs=8192 lr=0.0003 do=0.15 wd=0.005  test_rmse=5.4511  test_acc=0.00%  (6.12s)
[023/10000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.003  do=0.02 wd=1e-06  test_rmse=0.6465  test_acc=71.79%  (5.61s)
[024/10000] small3 hidden=128,64,32                bs=8192 lr=0.004  do=0.1  wd=0.001  test_rmse=2.9130  test_acc=0.00%  (3.04s)
[025/10000] wide3  hidden=512,256,128              bs=1024 lr=0.0025 do=0.15 wd=0.001  test_rmse=0.6434  test_acc=73.74%  (3.66s)
[026/10000] big4   hidden=1024,512,256,128         bs=2048 lr=0.0015 do=0.02 wd=0.0005 test_rmse=1.0899  test_acc=60.77%  (5.02s)
[027/10000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.004  do=0.02 wd=0.005  test_rmse=4.0627  test_acc=1.01%  (5.72s)
[028/10000] wide3  hidden=512,256,128              bs=1024 lr=0.0003 do=0.3  wd=1e-05  test_rmse=1.2485  test_acc=68.14%  (3.49s)
[029/10000] big3   hidden=1024,512,256             bs=4096 lr=0.0003 do=0.1  wd=1e-06  test_rmse=2.5252  test_acc=19.52%  (5.33s)
[030/10000] wide2  hidden=512,256                  bs=8192 lr=0.0003 do=0.0  wd=0.0005 test_rmse=8.7011  test_acc=0.02%  (3.26s)
[031/10000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.0007 do=0.1  wd=0.0005 test_rmse=2.9247  test_acc=12.94%  (5.48s)
[032/10000] small3 hidden=128,64,32                bs=4096 lr=0.0025 do=0.05 wd=0.0005 test_rmse=1.7647  test_acc=22.73%  (2.83s)
[033/10000] base2  hidden=256,128                  bs=2048 lr=0.0025 do=0.2  wd=0.0    test_rmse=0.7843  test_acc=67.33%  (2.58s)
[034/10000] small3 hidden=128,64,32                bs=2048 lr=0.0005 do=0.1  wd=0.001  test_rmse=3.0381  test_acc=7.63%  (2.44s)
[035/10000] wide2  hidden=512,256                  bs=8192 lr=0.0025 do=0.0  wd=0.0    test_rmse=2.5087  test_acc=0.00%  (3.29s)
[036/10000] base2  hidden=256,128                  bs=1024 lr=0.0007 do=0.0  wd=1e-05  test_rmse=0.9534  test_acc=64.40%  (2.33s)
[037/10000] big4   hidden=1024,512,256,128         bs=1024 lr=0.0025 do=0.1  wd=1e-05  test_rmse=0.5839  test_acc=73.04%  (5.25s)
[038/10000] big3   hidden=1024,512,256             bs=1024 lr=0.004  do=0.05 wd=0.0005 test_rmse=0.5245  test_acc=73.92%  (5.06s)
[039/10000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.0005 do=0.3  wd=1e-05  test_rmse=1.3472  test_acc=66.19%  (5.39s)
[040/10000] wide3  hidden=512,256,128              bs=1024 lr=0.004  do=0.02 wd=1e-05  test_rmse=0.4805  test_acc=75.18%  (3.38s)
[041/10000] base2  hidden=256,128                  bs=4096 lr=0.0005 do=0.05 wd=0.0    test_rmse=4.3789  test_acc=0.03%  (2.99s)
[042/10000] small2 hidden=128,64                   bs=2048 lr=0.0015 do=0.2  wd=1e-06  test_rmse=1.2747  test_acc=46.71%  (2.33s)
[043/10000] base2  hidden=256,128                  bs=1024 lr=0.0025 do=0.1  wd=0.001  test_rmse=0.9537  test_acc=70.10%  (2.42s)
[044/10000] base3  hidden=256,128,64               bs=1024 lr=0.0007 do=0.0  wd=0.005  test_rmse=1.0503  test_acc=67.04%  (2.42s)
[045/10000] tiny2  hidden=64,32                    bs=8192 lr=0.004  do=0.05 wd=0.005  test_rmse=4.7895  test_acc=0.00%  (2.8s)
[046/10000] small3 hidden=128,64,32                bs=8192 lr=0.004  do=0.0  wd=1e-05  test_rmse=3.1844  test_acc=0.00%  (2.81s)
[047/10000] deep4  hidden=512,256,128,64           bs=2048 lr=0.0003 do=0.05 wd=0.001  test_rmse=2.5323  test_acc=29.65%  (3.36s)
[048/10000] big3   hidden=1024,512,256             bs=2048 lr=0.0025 do=0.02 wd=0.005  test_rmse=0.7329  test_acc=69.10%  (4.88s)
[049/10000] wide3  hidden=512,256,128              bs=1024 lr=0.001  do=0.15 wd=0.005  test_rmse=1.1438  test_acc=69.98%  (3.26s)
[050/10000] base3  hidden=256,128,64               bs=8192 lr=0.0005 do=0.0  wd=0.005  test_rmse=9.4148  test_acc=0.01%  (3.04s)
[051/10000] big4   hidden=1024,512,256,128         bs=2048 lr=0.0005 do=0.0  wd=0.0001 test_rmse=1.3054  test_acc=68.10%  (4.34s)
[052/10000] small2 hidden=128,64                   bs=4096 lr=0.004  do=0.2  wd=0.0001 test_rmse=1.3537  test_acc=43.62%  (2.77s)
[053/10000] big4   hidden=1024,512,256,128         bs=8192 lr=0.0025 do=0.0  wd=0.001  test_rmse=2.3900  test_acc=24.93%  (4.55s)
[054/10000] base2  hidden=256,128                  bs=4096 lr=0.002  do=0.1  wd=0.001  test_rmse=1.3697  test_acc=45.49%  (3.01s)
[055/10000] small2 hidden=128,64                   bs=1024 lr=0.004  do=0.3  wd=0.0001 test_rmse=0.7552  test_acc=67.34%  (2.27s)
[056/10000] base2  hidden=256,128                  bs=1024 lr=0.003  do=0.02 wd=1e-05  test_rmse=0.7900  test_acc=71.17%  (2.4s)
[057/10000] small2 hidden=128,64                   bs=2048 lr=0.0003 do=0.02 wd=1e-05  test_rmse=5.4840  test_acc=0.10%  (2.34s)
[058/10000] wide2  hidden=512,256                  bs=4096 lr=0.0025 do=0.2  wd=0.005  test_rmse=1.6065  test_acc=0.00%  (3.49s)
[059/10000] small2 hidden=128,64                   bs=1024 lr=0.001  do=0.15 wd=0.0005 test_rmse=1.4615  test_acc=45.70%  (2.19s)
[060/10000] wide2  hidden=512,256                  bs=8192 lr=0.002  do=0.15 wd=0.001  test_rmse=2.4932  test_acc=14.07%  (3.62s)
[061/10000] deep4  hidden=512,256,128,64           bs=1024 lr=0.0025 do=0.2  wd=0.0    test_rmse=0.7631  test_acc=70.90%  (3.39s)
[062/10000] base2  hidden=256,128                  bs=8192 lr=0.0025 do=0.3  wd=0.0001 test_rmse=3.1212  test_acc=4.85%  (3.04s)
