Test-focused sweep: runs=1000 / candidates=10080 (epochs=10, split_strategy=random, seed=42, split=70/15/15, train_max_samples=50000)
[001/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.004  do=0.0  wd=0.0005 test_rmse=0.4407  test_acc=77.44% (last=77.44%)  (14.62s)
[002/1000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.0015 do=0.05 wd=1e-05  test_rmse=0.5258  test_acc=75.78% (last=75.78%)  (19.11s)
[003/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.004  do=0.05 wd=0.0    test_rmse=0.4710  test_acc=76.65% (last=76.65%)  (16.47s)
[004/1000] huge4  hidden=2048,1024,512,256        bs=2048 lr=0.003  do=0.05 wd=0.0    test_rmse=0.6375  test_acc=61.96% (last=61.96%)  (45.54s)
[005/1000] big4   hidden=1024,512,256,128         bs=2048 lr=0.002  do=0.0  wd=0.0001 test_rmse=0.4281  test_acc=77.68% (last=77.68%)  (18.85s)
[006/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.003  do=0.0  wd=1e-06  test_rmse=0.4712  test_acc=76.58% (last=76.58%)  (22.18s)
[007/1000] big4   hidden=1024,512,256,128         bs=2048 lr=0.002  do=0.0  wd=0.0001 test_rmse=0.4151  test_acc=78.08% (last=78.08%)  (18.98s)
[008/1000] wide3  hidden=1024,1024,512            bs=2048 lr=0.0015 do=0.05 wd=0.0001 test_rmse=0.4216  test_acc=77.72% (last=77.72%)  (30.67s)
[009/1000] huge3  hidden=2048,1024,512            bs=4096 lr=0.001  do=0.1  wd=0.0    test_rmse=0.5049  test_acc=76.10% (last=76.10%)  (36.17s)
[010/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.004  do=0.1  wd=0.0    test_rmse=0.5196  test_acc=75.77% (last=75.77%)  (15.57s)
[011/1000] big4   hidden=1024,512,256,128         bs=8192 lr=0.003  do=0.2  wd=0.001  test_rmse=0.7026  test_acc=70.03% (last=70.03%)  (20.79s)
[012/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.001  do=0.2  wd=0.0    test_rmse=0.9684  test_acc=69.06% (last=69.06%)  (36.74s)
[013/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.002  do=0.1  wd=0.001  test_rmse=0.7096  test_acc=73.25% (last=73.25%)  (15.07s)
[014/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.003  do=0.0  wd=1e-05  test_rmse=0.4216  test_acc=78.13% (last=78.13%)  (20.17s)
[015/1000] big4   hidden=1024,512,256,128         bs=2048 lr=0.004  do=0.05 wd=0.001  test_rmse=0.4170  test_acc=77.26% (last=77.30%)  (21.36s)
[016/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.0015 do=0.2  wd=0.0    test_rmse=0.7068  test_acc=71.86% (last=70.94%)  (37.34s)
[017/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.001  do=0.05 wd=0.0001 test_rmse=0.5799  test_acc=75.33% (last=75.33%)  (14.66s)
[018/1000] huge3  hidden=2048,1024,512            bs=2048 lr=0.002  do=0.05 wd=1e-06  test_rmse=0.4201  test_acc=77.66% (last=77.66%)  (37.62s)
[019/1000] wide3  hidden=1024,1024,512            bs=8192 lr=0.003  do=0.0  wd=1e-05  test_rmse=1.0292  test_acc=45.88% (last=45.88%)  (22.79s)
[020/1000] huge4  hidden=2048,1024,512,256        bs=2048 lr=0.001  do=0.0  wd=1e-06  test_rmse=0.4647  test_acc=76.88% (last=76.88%)  (31.78s)
[021/1000] big5   hidden=1024,512,256,128,64      bs=8192 lr=0.002  do=0.2  wd=1e-05  test_rmse=0.9081  test_acc=62.59% (last=63.32%)  (22.04s)
[022/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.001  do=0.05 wd=1e-06  test_rmse=0.5796  test_acc=75.31% (last=75.31%)  (15.07s)
[023/1000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.003  do=0.05 wd=1e-06  test_rmse=0.4910  test_acc=76.64% (last=76.64%)  (22.43s)
[024/1000] huge4  hidden=2048,1024,512,256        bs=2048 lr=0.002  do=0.2  wd=1e-06  test_rmse=0.4510  test_acc=76.52% (last=76.52%)  (40.24s)
[025/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.0015 do=0.1  wd=0.001  test_rmse=0.4871  test_acc=75.72% (last=75.64%)  (16.24s)
[026/1000] huge3  hidden=2048,1024,512            bs=2048 lr=0.001  do=0.05 wd=1e-05  test_rmse=0.4312  test_acc=77.85% (last=77.85%)  (43.15s)
[027/1000] huge4  hidden=2048,1024,512,256        bs=2048 lr=0.002  do=0.05 wd=1e-05  test_rmse=0.4123  test_acc=78.01% (last=78.01%)  (40.76s)
[028/1000] deep4  hidden=512,256,128,64           bs=8192 lr=0.0015 do=0.05 wd=0.001  test_rmse=1.0431  test_acc=62.25% (last=62.25%)  (16.2s)
[029/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.004  do=0.0  wd=0.001  test_rmse=0.3781  test_acc=79.05% (last=79.33%)  (42.89s)
[030/1000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.001  do=0.05 wd=0.0001 test_rmse=0.5999  test_acc=74.34% (last=74.34%)  (22.83s)
[031/1000] big4   hidden=1024,512,256,128         bs=8192 lr=0.004  do=0.1  wd=0.001  test_rmse=0.5224  test_acc=73.55% (last=72.53%)  (20.38s)
[032/1000] huge4  hidden=2048,1024,512,256        bs=2048 lr=0.001  do=0.1  wd=0.0    test_rmse=0.4800  test_acc=77.18% (last=77.18%)  (38.86s)
[033/1000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.004  do=0.1  wd=0.0005 test_rmse=0.5225  test_acc=74.48% (last=74.48%)  (21.84s)
[034/1000] wide3  hidden=1024,1024,512            bs=1024 lr=0.003  do=0.05 wd=0.0005 test_rmse=0.7707  test_acc=59.07% (last=53.42%)  (29.63s)
[035/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.0015 do=0.2  wd=1e-05  test_rmse=0.4282  test_acc=76.90% (last=74.43%)  (43.02s)
[036/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.002  do=0.05 wd=0.0001 test_rmse=0.5026  test_acc=76.09% (last=76.09%)  (36.81s)
[037/1000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.003  do=0.1  wd=0.0005 test_rmse=0.4776  test_acc=76.22% (last=69.31%)  (21.83s)
[038/1000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.002  do=0.2  wd=1e-05  test_rmse=0.7597  test_acc=68.69% (last=58.45%)  (22.24s)
[039/1000] wide3  hidden=1024,1024,512            bs=8192 lr=0.002  do=0.0  wd=0.0005 test_rmse=0.5343  test_acc=75.22% (last=75.22%)  (22.23s)
[040/1000] wide3  hidden=1024,1024,512            bs=2048 lr=0.001  do=0.1  wd=0.001  test_rmse=0.4488  test_acc=77.26% (last=77.26%)  (28.68s)
[041/1000] huge3  hidden=2048,1024,512            bs=2048 lr=0.002  do=0.2  wd=0.001  test_rmse=0.4330  test_acc=77.20% (last=77.20%)  (39.01s)
[042/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.003  do=0.0  wd=0.0    test_rmse=0.3844  test_acc=78.57% (last=78.57%)  (38.16s)
[043/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.003  do=0.2  wd=0.001  test_rmse=0.4818  test_acc=74.43% (last=59.68%)  (26.37s)
[044/1000] deep6  hidden=1024,512,512,256,128,64  bs=4096 lr=0.004  do=0.0  wd=0.0001 test_rmse=0.4559  test_acc=77.06% (last=77.06%)  (21.36s)
[045/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.002  do=0.1  wd=1e-06  test_rmse=0.5000  test_acc=75.30% (last=75.30%)  (14.98s)
[046/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.002  do=0.0  wd=0.0    test_rmse=0.4128  test_acc=78.22% (last=78.46%)  (20.95s)
[047/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.001  do=0.1  wd=1e-06  test_rmse=0.4352  test_acc=76.95% (last=73.49%)  (21.9s)
[048/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.004  do=0.05 wd=0.0005 test_rmse=0.5033  test_acc=76.10% (last=76.10%)  (14.7s)
[049/1000] deep6  hidden=1024,512,512,256,128,64  bs=1024 lr=0.001  do=0.0  wd=0.0001 test_rmse=0.4206  test_acc=78.16% (last=78.16%)  (22.75s)
[050/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.001  do=0.1  wd=1e-05  test_rmse=0.4661  test_acc=76.07% (last=73.08%)  (23.58s)
[051/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.003  do=0.2  wd=0.0001 test_rmse=0.4931  test_acc=74.98% (last=74.98%)  (14.66s)
[052/1000] huge3  hidden=2048,1024,512            bs=4096 lr=0.001  do=0.2  wd=0.0001 test_rmse=0.5124  test_acc=75.80% (last=75.80%)  (41.57s)
[053/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.001  do=0.05 wd=1e-05  test_rmse=0.9243  test_acc=68.47% (last=67.61%)  (38.09s)
[054/1000] wide3  hidden=1024,1024,512            bs=8192 lr=0.004  do=0.2  wd=1e-06  test_rmse=0.5583  test_acc=71.77% (last=71.77%)  (27.61s)
[055/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.0015 do=0.2  wd=0.0001 test_rmse=0.4746  test_acc=75.19% (last=55.19%)  (24.97s)
[056/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.004  do=0.05 wd=0.0001 test_rmse=0.4163  test_acc=76.38% (last=76.40%)  (24.96s)
[057/1000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.002  do=0.1  wd=0.0001 test_rmse=0.6402  test_acc=72.82% (last=72.82%)  (22.61s)
[058/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.001  do=0.05 wd=0.0    test_rmse=0.4233  test_acc=77.38% (last=77.62%)  (25.06s)
[059/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.002  do=0.2  wd=0.0001 test_rmse=0.4535  test_acc=73.91% (last=74.74%)  (22.24s)
[060/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.0015 do=0.05 wd=0.0005 test_rmse=0.4713  test_acc=76.26% (last=76.26%)  (25.19s)
[061/1000] huge3  hidden=2048,1024,512            bs=8192 lr=0.0015 do=0.2  wd=0.0005 test_rmse=0.5698  test_acc=73.95% (last=73.95%)  (34.53s)
[062/1000] deep4  hidden=512,256,128,64           bs=8192 lr=0.002  do=0.2  wd=1e-05  test_rmse=0.9075  test_acc=66.98% (last=66.98%)  (14.7s)
[063/1000] wide3  hidden=1024,1024,512            bs=2048 lr=0.004  do=0.1  wd=0.001  test_rmse=0.3928  test_acc=78.43% (last=77.99%)  (28.66s)
[064/1000] deep6  hidden=1024,512,512,256,128,64  bs=8192 lr=0.003  do=0.0  wd=0.0001 test_rmse=0.7353  test_acc=67.42% (last=67.42%)  (20.01s)
[065/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.002  do=0.0  wd=1e-05  test_rmse=0.5604  test_acc=74.73% (last=74.73%)  (13.83s)
